date,source,title,authors,link,score
,Photonics Research,"Widely tunable and narrow bandwidth lasers are promising for many applications such as coherent communications, sensing, quantum, and microwave photonics. Simultaneous realization of a wide tuning range over the C+L band and a narrow laser linewidth below 100 kHz has been challenging, and often requires more than a single material system…read the full Spotlight by Yikai Su",Topics in this Issue,,4.245104158259543
,2502.02478 (*cross-listing*),Enhanced quantum magnetometry with a laser-written integrated photonic,"Yanzhao Guo, Giulio Coccia, Vinaya Kumar Kavatamane, Argyro N.",2502.02478 (*cross-listing*),3.1200680338210787
"Tue, 4 Feb 2025 16:53:22 GMT   (1997kb,D)",2502.02478 (*cross-listing*),Enhanced quantum magnetometry with a laser-written integrated photonic,"Yanzhao Guo, Giulio Coccia, Vinaya Kumar Kavatamane, Argyro N.",2502.02478 (*cross-listing*),3.1200680338210787
15 April 2025,Nature Communications Contents,Multi-color photonic integrated circuits based on homogeneous integration of quantum cascade lasers,"Dominik Burghart, Kevin Zhang [...] Mikhail A. Belkin",<,3.1178244964859694
"Mon, 13 Jan 2025 19:32:30 GMT   (3034kb)",2501.07657,Heterogeneous-free narrow linewidth semiconductor laser with optical,"Xiao Sun, Zhibo Li, Yiming Sun, Yupei Wang, Jue Wang, John H. Marsh,",2501.07657,2.3448671933536196
"Wed, 20 Nov 2024 08:00:27 GMT   (856kb,D)",2411.13106 (*cross-listing*),Quantum uncertainty of optical coherence,"Martti Hanhisalo, Mohammad Sajjad Mirmoosa, Tero Set\""al\""a, {\L}ukasz",2411.13106 (*cross-listing*),2.173569545548694
"Tue, 26 Nov 2024 14:02:06 GMT   (812kb)",2411.17443,Sub-kilohertz intrinsic linewidth stimulated Brillouin laser in,"Chuntao Li, Jiale Deng, Xingzhao Huang, Xiaochao Luo, Renhong Gao,",2411.17443,2.1638959116133134
"Mon, 3 Feb 2025 18:26:57 GMT   (1254kb)",2502.01595,Photonic integrated large mode volume Brillouin lasers,"Kaikai Liu, Karl D. Nelson, Ryan O. Behunin, Daniel J. Blumenthal",2502.01595,2.150045985523995
"Thu, 17 Apr 2025 18:58:07 GMT   (761kb,D)",2504.13287 (*cross-listing*),Theory of quantum optics and optical coherence in high harmonic,"Philipp Stammer, Javier Rivera-Dean and Maciej Lewenstein",2504.13287 (*cross-listing*),2.148347301863567
"Thu, 5 Dec 2024 22:07:31 GMT   (926kb,D)",2412.04635 (*cross-listing*),A practical guide to feedback control for Pound-Drever-Hall laser,"Wance Wang, Sarthak Subhankar, Joseph W. Britton",2412.04635 (*cross-listing*),2.142558400227061
"Wed, 12 Feb 2025 13:04:46 GMT   (7692kb,D)",2502.08372 (*cross-listing*),Demonstration of Fourier-domain Quantum Optical Coherence Tomography for,"Sylwia M. Kolenderska, Crislane Vieira de Brito, Piotr Kolenderski",2502.08372 (*cross-listing*),2.12567119621052
"Fri, 8 Nov 2024 19:10:12 GMT   (14120kb,D)",2411.05921 (*cross-listing*),Scalable Feedback Stabilization of Quantum Light Sources on a CMOS Chip,"Danielius Kramnik, Imbert Wang, Anirudh Ramesh, Josep M. Fargas",2411.05921 (*cross-listing*),2.124336369758761
"Thu, 8 May 2025 16:14:45 GMT   (23141kb,D)",2505.05382,Amplified Feedback and Spontaneous Emission Injection in Quantum Cascade,"Radhika R. Bhuckory, Sara Kacmoli, Deborah L. Sivco, Claire Gmachl",2505.05382,2.124052430170223
,2401.17836 (*cross-listing*),Broadband biphoton source for quantum optical coherence tomography based,"Konstantin Katamadze, Anna Romanova, Denis Chupakhin, Alexander",2401.17836 (*cross-listing*),2.120909893061781
"Mon, 20 Jan 2025 15:09:27 GMT   (784kb,D)",2501.11528,Tunable coherence laser interferometry: demonstrating 40dB of straylight,"Daniel Voigt, Leonie Eggers, Katharina-Sofie Isleif, Sina M.",2501.11528,2.1168763517810283
,2501.11528,Tunable coherence laser interferometry: demonstrating 40dB of straylight,"Daniel Voigt, Leonie Eggers, Katharina-Sophie Isleif, Sina M.",2501.11528,2.1168763517810283
"Mon, 12 May 2025 21:57:39 GMT   (1168kb)",2505.08095 (*cross-listing*),Cross-correlation scheme for quantum optical coherence tomography based,"Anna Romanova, Vadim Rodimin, Konstantin Katamadze",2505.08095 (*cross-listing*),2.114564870489402
"Mon, 23 Dec 2024 16:08:37 GMT   (6429kb,D)",2412.17683 (*cross-listing*),On-chip frequency-bin quantum photonics,"Karthik V. Myilswamy, Lucas M. Cohen, Suparna Seshadri, Hsuan-Hao Lu,",2412.17683 (*cross-listing*),2.1065512905591643
"Fri, 25 Apr 2025 09:35:08 GMT   (858kb,D)",2504.18205 (*cross-listing*),Estimation of the second-order coherence function using quantum,"Dogyun Ko, Stanis{\l}aw \'Swierczewski, Andrzej Opala, Micha{\l}",2504.18205 (*cross-listing*),2.093950549581304
"Fri, 25 Oct 2024 14:23:50 GMT   (6549kb,D)",2410.19584,Microring quantum cascade surface emitting lasers,"David Stark, Mattias Beck, J\'er\^ome Faist",2410.19584,2.0883448722197855
